"Name","Seasons","Average corrVOL","Average wRC+"
"Jesus Guzman",2,104.1,98
"Gregor Blanco",6,100.6,97
"Domonic Brown",2,101,100
"Shin-Soo Choo",6,98.8,133
"Dioner Navarro",5,99.6,79
"Nate McLouth",5,100.1,107
"Julio Borbon",1,97.5,70
"Brayan Pena",2,99.7,80
"Franklin Gutierrez",4,100,94
"Welington Castillo",4,101.3,98
"Kosuke Fukudome",4,101.3,103
"Robinson Cano",12,99.6,127
"Martin Prado",8,100,107
"Alberto Callaspo",6,97.5,96
"Matt Joyce",5,101.4,119
"Gaby Sanchez",5,100.5,104
"Miguel Montero",6,100.5,106
"Anderson Hernandez",1,98.9,73
"Alejandro De Aza",5,99.1,98
"Clete Thomas",1,105.1,86
"Nick Hundley",2,99,95
"Chris Getz",2,98.4,70
"John Mayberry",3,100.1,98
"Cliff Pennington",4,99.4,80
"Trevor Crowe",1,103.6,76
"Ryan Braun",9,102,142
"Allen Craig",3,99.5,114
"Nolan Reimold",2,99.2,103
"Dan Uggla",8,102.9,112
"Luke Scott",4,100.9,119
"Anthony Rizzo",4,101.3,137
"Angel Sanchez",1,98.3,66
"Brent Lillibridge",1,101.9,43
"Eric Hosmer",6,98.6,107
"Troy Tulowitzki",8,100.5,118
"Josh Barfield",2,98.2,76
"Rene Rivera",2,98.5,73
"Brooks Conrad",1,99.6,118
"Jack Hannahan",4,100.6,83
"Skip Schumaker",7,99,95
"Geovany Soto",4,101.1,109
"Rajai Davis",8,98.7,93
"Joe Mather",1,101.2,53
"Felix Pie",1,104.4,95
"David Wright",10,100.8,134
"Jayson Nix",1,104.4,82
"J.J. Hardy",11,101.1,91
"Ryan Theriot",6,99.6,84
"Joaquin Arias",3,99.7,79
"Jeff Keppinger",5,99.8,90
"Kelly Shoppach",1,104.4,128
"Chris Stewart",1,93.1,59
"Chris Young",9,102.7,95
"Josh Reddick",5,102.8,109
"Mike Fontenot",3,98.4,95
"Joey Gathright",2,98.2,62
"Dayan Viciedo",3,102.8,95
"Chris Heisey",3,103.2,94
"Melky Cabrera",10,98.8,104
"Emilio Bonifacio",4,99,83
"Dexter Fowler",8,97.5,111
"Erick Aybar",8,98.4,92
"Michael Brantley",5,97.7,119
"Jonathan Herrera",1,101.7,58
"Yunel Escobar",9,98.6,102
"Ryan Zimmerman",9,99.3,115
"Howie Kendrick",8,100.5,108
"Jose Lobaton",1,98.8,101
"Shane Robinson",1,100.6,81
"Stephen Drew",6,102.1,95
"Matt Wieters",5,103.8,95
"Joey Votto",8,96.3,159
"Daniel Murphy",7,99.7,114
"Micah Hoffpauir",1,104.4,84
"Chris Denorfia",5,100.4,102
"Jed Lowrie",2,97.7,108
"Steve Tolleson",1,97.7,91
"Brandon Moss",5,102.3,108
"Mark Teahen",5,101.4,94
"Russ Adams",1,103.4,86
"Ryan Spilborghs",2,101.7,90
"James Loney",9,99.1,100
"Delwyn Young",2,98.2,89
"Starlin Castro",7,100.7,96
"Nick Swisher",9,101.2,119
"Chris Snyder",4,100.5,84
"Jason Pridie",1,101.5,89
"Prince Fielder",9,99.6,139
"Russell Martin",10,99.9,107
"Junior Lake",1,103.2,65
"Tyler Greene",1,105.1,80
"Ben Francisco",3,104.1,103
"Fred Lewis",3,100.8,103
"Ben Revere",5,98.8,82
"Brian Bogusevic",1,98.4,66
"Chase Headley",8,98.8,109
"Jacoby Ellsbury",7,100.8,106
"Jeremy Reed",2,97.4,79
"Curtis Granderson",10,103.5,119
"Elliot Johnson",2,96.5,67
"John Baker",1,100.3,99
"Jeff Francoeur",9,101.3,88
"Travis Ishikawa",2,101,92
"Brian McCann",11,103.1,114
"Jarrod Dyson",3,95.7,86
"Carlos Gomez",7,100.5,100
"Nyjer Morgan",4,97.6,91
"Mike Moustakas",4,100.8,92
"Robert Andino",2,94.6,74
"Matt Dominguez",2,101.9,76
"Alberto Gonzalez",3,98.7,59
"Ender Inciarte",3,96.8,95
"Jason Heyward",7,99.5,111
"Elijah Dukes",1,101.7,94
"Giancarlo Stanton",6,100.2,140
"Ryan Hanigan",1,90.4,88
"Asdrubal Cabrera",8,99.6,106
"Luis Valbuena",4,101.6,104
"Stephen Vogt",2,104.5,104
"Melvin Upton Jr.",9,100,99
"Josh Donaldson",4,102.9,146
"Anthony Gose",1,98.1,90
"Alexei Ramirez",9,99.8,87
"Alex Gordon",8,100.4,112
"Justin Upton",9,102.2,121
"Cameron Maybin",3,100.5,95
"Jon Jay",5,96,112
"Justin Turner",4,100,127
"Brett Lawrie",3,99.4,96
"Alexi Casilla",1,96.7,63
"Robbie Grossman",1,103,97
"Francisco Cervelli",2,96.6,110
"Aaron Hicks",1,96.3,64
"Alex Presley",1,100.2,86
"Tyler Colvin",2,102.3,113
"Brandon Crawford",5,99.3,100
"Yangervis Solarte",3,100.3,109
"Freddie Freeman",6,100.8,135
"Juan Lagares",3,101.9,85
"Pablo Sandoval",7,100.3,116
"Jose Altuve",5,99.2,120
"Steve Lombardozzi",2,100.6,76
"Daniel Nava",2,99,115
"Bryan LaHair",1,103,110
"Jimmy Paredes",1,106.2,96
"Marwin Gonzalez",3,101,100
"Jesus Montero",1,103.6,90
"Ruben Tejada",3,99.2,92
"Jarrod Saltalamacchia",4,101.6,101
"Mitch Maier",2,97.8,86
"Reggie Willits",1,95.6,104
"Matt Kemp",8,100.9,125
"Ryan Roberts",3,98.7,97
"Devin Mesoraco",2,101.6,114
"Steven Souza Jr.",2,107.5,98
"A.J. Ellis",2,100.8,107
"Hernan Perez",2,101.5,74
"Avisail Garcia",2,101.1,85
"Kenji Johjima",3,100,92
"Wilmer Flores",2,101.2,102
"John Jaso",3,97.2,122
"Daric Barton",2,98,108
"Nick Markakis",11,98.4,110
"Jean Segura",4,102.2,92
"Ian Stewart",2,103.5,94
"Xavier Paul",1,103,76
"Mike Aviles",5,99.6,88
"Kevin Kouzmanoff",4,102.2,96
"Conor Jackson",4,101,105
"Didi Gregorius",3,100.7,93
"Cristhian Adames",1,99.7,50
"Josh Anderson",1,97.5,49
"David Murphy",8,101,101
"Brendan Ryan",5,97.7,70
"Casey McGehee",6,100.5,94
"Aaron Hill",10,101.3,95
"Tony Gwynn",4,99.8,79
"Brian Anderson",2,97.3,68
"Eduardo Escobar",3,102.4,90
"J.D. Martinez",4,97.5,132
"Ian Kinsler",11,99,112
"Nate Schierholtz",6,101.2,91
"Andre Ethier",10,101.2,123
"Carlos Quentin",3,103.6,133
"Matt Murton",1,100.6,107
"Alcides Escobar",7,98.3,72
"Ryan Garko",3,100.8,111
"Ryan Sweeney",3,98.7,99
"Danny Valencia",3,99.2,108
"Adam Jones",9,102.3,109
"Michael Bourn",10,99.2,88
"Kirk Nieuwenhuis",1,100.1,89
"Brent Morel",1,96.5,75
"Roger Bernadina",3,100.3,84
"Lastings Milledge",2,102.2,94
