"Name","Seasons","Average corrVOL","Average wRC+"
"Ken Oberkfell",10,97.4,102
"Charlie O'Brien",1,103.6,90
"Pete O'Brien",10,100.3,103
"Ron Oester",7,99.2,83
"Rowland Office",6,100.8,77
"Ben Oglivie",11,101.2,120
"Tony Oliva",2,101.8,101
"Al Oliver",11,97.9,125
"Bob Oliver",1,105.3,78
"Joe Oliver",5,99.3,81
"Greg Olson",1,103.2,84
"Tom O'Malley",1,97.8,96
"Paul O'Neill",14,100.3,120
"Steve Ontiveros",4,97.7,106
"Jose Oquendo",6,96.5,93
"Joe Orsulak",10,99.9,96
"Jorge Orta",10,99.4,113
"Ricky Otero",1,101.2,81
"Amos Otis",8,98.5,117
"Ed Ott",4,101.6,89
"Spike Owen",8,97.3,85
"Tom Paciorek",7,98.9,114
"Mitchell Page",4,101.7,122
"Mike Pagliarulo",8,101.5,96
"Tom Pagnozzi",3,97.9,86
"Dave Parker",15,99.7,121
"Larry Parrish",12,101.5,107
"Lance Parrish",11,102.2,108
"Dan Pasqua",5,102.5,121
"Freddie Patek",6,99.3,78
"Bill Pecota",2,95.2,92
"Tony Pena",12,97.9,85
"Terry Pendleton",11,99.6,92
"Jack Perconte",2,94.5,93
"Marty Perez",4,101.2,77
"Tony Perez",7,100.8,115
"Broderick Perkins",1,100.5,87
"Gerald Perry",6,100.4,92
"Rick Peters",1,98.8,106
"Geno Petralli",2,97,100
"Rico Petrocelli",2,100.3,94
"Gary Pettis",8,98.8,84
"Ken Phelps",4,102,150
"Mike Phillips",1,96.8,74
"Tony Phillips",14,96.2,113
"Rob Picciolo",2,95.3,42
"Lou Piniella",6,97.3,114
"Vada Pinson",1,97.4,92
"Phil Plantier",2,101.8,107
"Biff Pocoroba",1,100.4,113
"Luis Polonia",7,98.2,96
"Tom Poquette",2,100.1,117
"Darrell Porter",10,100,112
"Boog Powell",2,97.3,140
"Hosken Powell",4,98,87
"Jim Presley",6,100.7,91
"Greg Pryor",2,95.8,74
"Kirby Puckett",12,98.8,122
"Terry Puhl",8,97.5,117
"Pat Putnam",3,101,104
"Rey Quinones",2,99.7,85
"Carlos Quintana",2,100.5,111
"Dave Rader",2,99.3,71
"Doug Rader",4,101.3,107
"Rafael Ramirez",9,99.3,77
"Mike Ramsey",1,100.8,63
"Bob Randall",3,94.7,80
"Len Randle",6,97.7,95
"Willie Randolph",15,94.8,111
"Floyd Rayford",1,99.5,130
"Johnny Ray",9,99.3,101
"Randy Ready",3,97.8,124
"Gary Redus",4,99.7,104
"Jeff Reed",3,100.7,89
"Jody Reed",9,97.2,95
"Kevin Reimer",3,101.9,107
"Ken Reitz",7,98.5,79
"Jerry Remy",6,96.2,82
"Rich Renteria",1,106,75
"Merv Rettenmund",1,97.4,147
"Dave Revering",3,99.7,116
"Craig Reynolds",8,98.5,78
"Harold Reynolds",8,97.4,88
"R.J. Reynolds",5,101.5,98
"Jim Rice",14,100.7,130
"Gene Richards",6,97.9,115
"Mike Richardt",1,98.4,59
"Ernest Riles",5,98.8,94
"Billy Ripken",5,95.1,67
"Cal Ripken",18,100.5,112
"Luis Rivera",3,99.3,76
"Mickey Rivers",8,97.6,110
"Bip Roberts",6,96.7,117
"Dave Roberts",1,100.9,42
"Leon Roberts",4,97.8,113
"Bill Robinson",4,102.6,116
"Brooks Robinson",2,97.1,85
"Craig Robinson",1,94.7,47
"Frank Robinson",1,100.9,139
"Aurelio Rodriguez",6,99.6,68
"Ellie Rodriguez",1,98.8,122
"Gary Roenicke",6,100.4,126
"Ron Roenicke",2,102.8,98
"Cookie Rojas",2,99.9,79
"Ed Romero",1,93.8,71
"Rolando Roomes",1,102.3,100
"Pete Rose",12,94.9,116
"Jerry Royster",6,99,74
"Joe Rudi",5,98.9,118
"Bill Russell",9,98.5,84
"Chris Sabo",4,101.2,117
"Lenn Sakata",1,97.1,93
"Mark Salas",1,95,108
"Angel Salazar",2,96.9,38
"Luis Salazar",8,100.1,89
"Bill Sample",3,97.3,94
"Juan Samuel",9,101.5,99
"Ryne Sandberg",14,100.4,116
"Deion Sanders",1,100.2,83
"Manny Sanguillen",4,98.2,100
"F.P. Santangelo",4,99.9,100
"Rafael Santana",4,96.2,63
"Ron Santo",1,100.1,70
"Mackey Sasser",1,99.3,109
"Steve Sax",11,97.7,98
"Steve Scarsone",1,102.8,64
"Mike Schmidt",15,101.1,151
"Dick Schofield",7,96.9,74
"Rick Schu",1,98,92
"Mike Scioscia",10,97.8,100
"Daryl Sconiers",1,102.7,101
"George Scott",6,100.4,115
"Rodney Scott",3,100.5,77
"Tony Scott",4,101,74
"Kevin Sefcik",1,96,97
"Kevin Seitzer",8,96.3,115
"Scott Servais",3,100,74
"Bill Sharp",1,96.7,73
"Mike Sharperson",3,96.5,119
"Larry Sheets",6,101.2,106
"John Shelby",6,101.4,79
"Pat Sheridan",5,99.9,96
"Ted Simmons",12,98.4,118
"Joe Simpson",1,101.2,70
"Ken Singleton",11,97.1,135
"Ted Sizemore",5,97.6,70
"Joel Skinner",1,97.8,58
"Don Slaught",4,99,98
"Roy Smalley",11,100.4,105
"Billy Smith",1,104.4,65
"Dwight Smith",6,96.5,109
"Lonnie Smith",9,96.1,125
"Ozzie Smith",16,97.2,91
"Reggie Smith",6,100.1,147
"Cory Snyder",7,101.8,97
"Eric Soderholm",5,99.6,114
"Rick Sofield",1,99.4,75
"Tony Solaita",1,98.2,113
"Paul Sorrento",6,104.3,109
"Chris Speier",9,98.3,89
"Jim Spencer",5,101.4,103
"Bill Spiers",9,98.7,96
"Charlie Spikes",2,100,105
"Ed Sprague",8,102.3,88
"Mike Squires",3,98.4,83
"Scott Stahoviak",1,100.6,111
"Andy Stankiewicz",1,97.7,98
"Mike Stanley",6,101,126
"Leroy Stanton",3,100.1,122
"Dave Stapleton",3,99,89
"Willie Stargell",5,100.9,147
"Rusty Staub",9,97.5,117
"John Stearns",3,99,107
"Bill Stein",3,101.1,88
"Terry Steinbach",13,99.2,100
"Rennie Stennett",6,98.7,87
"Phil Stephenson",1,97.9,84
"Kurt Stillwell",6,100.7,86
"Bob Stinson",2,96.3,110
"Kevin Stocker",5,100,69
"Doug Strange",2,100.6,88
"Darryl Strawberry",10,101.7,142
"Franklin Stubbs",5,102.7,96
"Champ Summers",2,102.5,148
"Jim Sundberg",13,98,92
"Gary Sutherland",2,102.5,73
"Dale Sveum",3,98.3,87
"Steve Swisher",1,103.2,61
"Pat Tabler",7,95.1,106
"Danny Tartabull",9,99.3,136
"Eddie Taubensee",4,102.6,106
"Frank Taveras",7,98.3,75
"Garry Templeton",14,99.5,82
"Gene Tenace",7,101.1,142
"Jerry Terrell",1,98.2,88
"Mickey Tettleton",8,98.3,129
"Tim Teufel",3,99,99
"Andres Thomas",2,98.5,58
"Derrel Thomas",7,99.5,89
"Gary Thomasson",5,101.1,100
"Gorman Thomas",8,102.9,121
"Danny Thompson",1,97.3,81
"Jason Thompson",9,100.3,122
"Milt Thompson",7,97.8,101
"Robby Thompson",8,100,114
"Scot Thompson",2,101.3,94
"Dickie Thon",6,97,98
"Andre Thornton",10,99.5,127
"Lee Tinsley",1,99.9,44
"Bobby Tolan",2,100.6,81
"Wayne Tolleson",5,96.7,76
"Hector Torres",1,100.1,79
"Joe Torre",3,99.6,112
"Rusty Torres",1,104.2,96
"Cesar Tovar",2,97,99
"Jim Traber",1,104.8,63
"Alan Trammell",14,96.5,117
"Jeff Treadway",4,96.7,97
"Alex Trevino",2,98.2,65
"Manny Trillo",9,98.4,78
"Jerry Turner",4,103.5,105
"Mike Tyson",5,96.5,62
"Del Unser",4,100,98
"Willie Upshaw",7,99,107
"Jose Uribe",5,96,66
"Mike Vail",2,103.1,100
"Bobby Valentine",1,99.4,90
"Ellis Valentine",3,98.2,120
"Dave Valle",4,98.7,88
"Andy Van Slyke",10,100,123
"Otto Velez",2,103.1,124
"Quilvio Veras",4,99.2,103
"Tom Veryzer",5,95.6,60
"Ozzie Virgil",5,98.8,105
"George Vukovich",4,101.1,90
"Chico Walker",3,100.3,85
"Duane Walker",1,101.9,66
"Greg Walker",4,101.3,114
"Tim Wallach",14,100.8,102
"Denny Walling",4,99.6,115
"Joe Wallis",2,102.8,91
"Jerome Walton",2,92.1,96
"Gary Ward",8,100.9,106
"Turner Ward",2,102.1,85
"Claudell Washington",12,101.1,108
"Ron Washington",1,98.8,74
"U L Washington",3,100.6,91
"John Wathan",3,96,92
"Bob Watson",7,98.6,132
"Mitch Webster",5,99.9,107
"Walt Weiss",8,97.4,80
"Lou Whitaker",16,99.1,117
"Devon White",12,101.3,99
"Frank White",14,98.2,86
"Jerry White",1,102.5,78
"Mark Whiten",4,102.4,101
"Roy White",5,99.9,123
"Terry Whitfield",4,101.8,107
"Ernie Whitt",8,101.8,105
"Alan Wiggins",2,96,99
"Rob Wilfong",3,99.4,94
"Curtis Wilkerson",3,97.8,71
"Rick Wilkins",2,102.5,120
"Jerry Willard",1,94.5,96
"Billy Williams",3,100.2,114
"Earl Williams",3,100.3,94
"Kenny Williams",1,101.3,94
"Reggie Williams",1,100,94
"Bump Wills",6,100.1,95
"Glenn Wilson",8,98.7,92
"Mookie Wilson",8,100.3,97
"Willie Wilson",15,99,94
"Dave Winfield",19,100.1,130
"Herm Winningham",3,101.1,76
"John Wockenfuss",1,93.9,131
"Jim Wohlford",4,99.1,79
"Al Woods",3,99.3,103
"Gary Woods",1,102.9,96
"Craig Worthington",2,95.9,99
"George Wright",4,99.8,79
"Butch Wynegar",7,98.6,94
"Marvell Wynne",5,100.7,91
"Jimmy Wynn",3,101.6,136
"Carl Yastrzemski",9,99.6,118
"Steve Yeager",4,101.5,88
"Eric Yelding",1,97.9,72
"Gerald Young",2,98.4,90
"Joel Youngblood",6,100.4,108
"Mike Young",4,99.2,114
"Robin Yount",19,98.7,113
"Richie Zisk",8,98.6,126
"Bob Zupcic",2,98.1,81
